Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv2c,17.9,10.1,9.6,19.7,9.5,13.36
DMQe_all,12.5,9.1,10.1,19.2,6.1,11.400000000000002
DMQv0c,2.3,5.8,10.6,22.5,6.8,9.6
DMQv2,28.1,2.7,-0.3,7.0,5.6,8.620000000000001
DMQv0,-5.6,4.5,6.8,19.2,4.1,5.8
QRF,0.1,1.6,4.8,11.9,9.3,5.54
DMQv1c,-4.2,2.1,5.7,15.7,3.9,4.64
DMQv1,7.6,8.5,1.8,8.8,-5.2,4.300000000000001
QRF-l,-13.8,1.4,6.5,14.6,8.0,3.34
AR1,1.7,0.8,0.6,0.2,-0.1,0.64
VG,-10.7,-4.7,-3.9,6.7,4.2,-1.6799999999999997
QGB,-76.8,-5.2,4.9,27.9,11.7,-7.5
LAS,-47.0,0.2,-8.5,-0.3,-26.0,-16.32
QPCR,-69.6,-77.0,-11.5,-56.1,-130.6,-68.96
LAS-l,-322.8,-12.6,-5.8,6.9,-202.7,-107.4
LR,-116.3,-47.1,-72.3,-43.9,-353.6,-126.64000000000001
