Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv2,-115.6,-10.9,9.3,27.8,3.4,-17.2
Naive,-117.0,-11.1,8.6,27.6,4.1,-17.560000000000002
DMQv1,-119.5,-10.8,9.0,27.8,4.3,-17.840000000000003
IAR,-117.6,-11.4,8.5,27.2,1.9,-18.279999999999998
LAS,-119.8,-11.4,8.9,27.2,2.0,-18.619999999999997
QGB,-121.0,-13.1,7.8,27.5,5.6,-18.64
QRF,-119.9,-11.8,7.9,26.8,2.6,-18.880000000000003
DMQv1c,-118.9,-12.0,7.8,26.4,0.8,-19.180000000000003
DMQv0c,-120.6,-12.1,7.7,26.9,0.1,-19.6
LR,-123.8,-12.5,8.6,27.2,2.1,-19.680000000000003
DMQv2c,-121.2,-12.6,8.0,26.3,0.2,-19.860000000000003
DMQv0,-120.7,-12.3,6.9,25.0,-1.0,-20.419999999999998
AR1,-123.0,-13.8,6.4,24.6,-3.6,-21.880000000000003
