Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv2,-7.7,13.2,19.6,32.1,21.9,15.819999999999999
DMQv1c,-9.9,13.6,18.7,31.5,21.9,15.16
LAS,-8.5,14.9,17.9,28.9,19.4,14.52
DMQv2c,-11.6,12.1,18.9,31.2,21.4,14.4
DMQv0c,-12.8,12.8,17.6,30.1,22.0,13.940000000000001
LR,-19.2,13.2,19.1,32.6,23.4,13.819999999999999
Naive,-8.9,9.2,16.8,29.4,21.5,13.6
IAR,-11.8,10.8,17.7,30.4,20.8,13.579999999999998
AR1,-19.2,12.7,18.7,30.9,21.8,12.979999999999999
DMQv1,-10.1,11.2,15.2,28.3,17.0,12.319999999999999
DMQv0,-18.4,11.4,17.0,30.5,20.9,12.28
QRF,-15.8,12.2,17.0,28.6,17.4,11.879999999999999
QGB,-20.3,9.5,18.3,29.7,21.7,11.780000000000001
