Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0c,12.2,14.0,22.1,32.9,35.0,23.24
DMQv1c,-3.7,12.8,26.0,36.6,44.1,23.160000000000004
DMQv0,9.6,7.6,13.6,25.3,46.7,20.56
DMQv2c,-10.5,4.5,22.3,35.9,50.4,20.52
DMQv2,-12.9,0.5,17.4,38.4,55.1,19.7
DMQv1,-14.5,2.8,13.4,33.3,55.5,18.1
QRF,-0.3,12.8,12.0,16.5,27.3,13.66
QGB,-60.8,-0.9,1.2,30.0,39.8,1.8600000000000008
Naive,1.2,2.0,1.1,1.1,0.3,1.1400000000000001
AR1,1.4,2.0,0.9,0.8,-0.3,0.96
IAR,-48.5,-19.1,-20.5,-17.7,-21.9,-25.54
LAS,-46.5,-7.8,2.3,-3.3,-234.0,-57.86
LR,-509.9,-95.9,-36.0,-28.4,-233.1,-180.66
