Model,0.05,0.25,0.5,0.75,0.95,Mean
QRF,22.5,7.8,9.3,3.2,-6.2,7.32
DMQv0c,-1.0,6.8,7.2,7.0,6.7,5.34
UAR,-20.0,0.9,10.9,10.2,15.9,3.5799999999999996
DMQv0,19.1,3.9,5.9,0.3,-26.0,0.6399999999999999
DMQv1,4.6,3.7,4.1,2.5,-12.4,0.5
AR1,1.3,0.0,0.0,0.2,0.9,0.48
LAS,-3.4,9.1,8.4,1.7,-13.6,0.43999999999999984
Naive,0.9,0.0,0.0,0.2,0.9,0.4
QGB,8.8,12.9,14.9,-0.3,-35.2,0.22000000000000028
DMQv1c,0.3,1.1,8.0,3.4,-13.3,-0.1
DMQv2,-22.8,-12.6,2.8,2.5,-13.0,-8.620000000000001
DMQv2c,-31.3,-23.5,-7.0,-6.0,-20.6,-17.68
LR,-12.6,3.9,-0.5,-21.6,-61.9,-18.54
