Model,0.05,0.25,0.5,0.75,0.95,Mean
QRF,20.5,14.4,19.5,24.0,16.3,18.94
QGB,-19.8,9.2,14.1,38.5,20.6,12.52
DMQv0c,6.7,-0.1,9.7,22.2,6.7,9.040000000000001
DMQv2c,7.7,4.3,9.3,20.1,0.2,8.320000000000002
DMQv1c,3.8,3.5,7.5,18.0,2.3,7.019999999999999
DMQv2,-3.7,3.7,8.3,19.3,6.2,6.760000000000001
Naive,2.2,0.7,0.8,0.4,0.1,0.8400000000000001
AR1,2.1,0.7,0.7,0.2,-0.1,0.72
DMQv1,-10.6,-5.7,0.0,13.4,2.0,-0.18000000000000008
VG,-10.5,-6.7,-4.2,7.0,4.0,-2.0799999999999996
DMQv0,-19.7,-10.0,-1.5,12.4,2.8,-3.1999999999999993
LAS,-88.7,-52.7,-20.2,-96.3,-177.9,-87.16
LR,-1135.6,-669.0,-603.5,-2708.9,-3477.4,-1718.8799999999999
