Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0,10.2,15.0,17.5,25.5,36.9,21.02
QGB,-7.3,7.8,12.6,42.2,43.6,19.78
QRF,2.4,17.0,21.3,29.0,28.5,19.64
DMQv2,-15.3,4.1,22.6,35.1,42.8,17.86
DMQv1c,-12.5,0.7,17.1,33.0,44.0,16.46
DMQv0c,-4.0,13.5,18.4,29.9,22.7,16.1
DMQv2c,-27.1,6.9,19.7,26.2,34.5,12.04
DMQv1,-25.8,-0.4,13.6,23.4,26.3,7.42
Naive,1.2,2.0,1.1,1.1,0.3,1.1400000000000001
AR1,1.4,2.0,0.9,0.8,-0.3,0.96
IAR,-48.5,-19.1,-20.5,-17.7,-21.9,-25.54
LAS,-203.2,-105.1,-58.1,-64.8,-221.0,-130.44
LR,-822.4,-1130.8,-443.7,-312.6,-646.3,-671.1599999999999
