Model,0.05,0.25,0.5,0.75,0.95,Mean
QRF,21.3,18.1,19.7,16.6,8.5,16.840000000000003
QGB,2.5,14.1,13.6,14.4,-18.3,5.26
AR1,1.1,0.3,0.5,1.1,1.1,0.82
Naive,0.7,0.3,0.5,1.1,1.0,0.72
UAR,-19.3,-12.3,-5.6,10.0,20.3,-1.3800000000000003
DMQv0,-26.4,-13.0,3.4,17.6,-6.8,-5.04
DMQv2,-31.2,-19.3,-2.6,10.1,8.7,-6.859999999999999
DMQv1,-23.3,-19.7,-7.5,-0.0,1.6,-9.78
DMQv0c,-42.6,-26.0,-4.0,13.7,-3.6,-12.499999999999998
DMQv2c,-50.1,-33.9,-5.2,5.2,-9.6,-18.72
DMQv1c,-63.9,-30.9,-4.3,9.3,-11.6,-20.279999999999998
LAS,-56.5,-26.6,-20.9,-17.7,-299.7,-84.28
LR,-2367.0,-840.1,-1429.4,-1189.0,-904.8,-1346.06
