Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv2,24.7,12.0,8.4,15.4,6.9,13.48
DMQv1,8.6,14.0,15.4,19.9,-0.6,11.459999999999999
DMQv2c,11.7,12.2,12.9,17.0,1.0,10.959999999999999
QRF,7.5,7.3,7.4,16.0,11.8,10.0
DMQv0,-4.4,4.2,12.6,25.0,3.2,8.120000000000001
DMQv1c,-17.5,-6.1,6.0,17.3,14.0,2.7399999999999998
Naive,2.2,0.7,0.8,0.4,0.1,0.8400000000000001
AR1,2.1,0.7,0.7,0.2,-0.1,0.72
QGB,-62.9,-7.1,8.3,32.3,23.8,-1.120000000000001
VG,-10.5,-6.7,-4.2,7.0,4.0,-2.0799999999999996
DMQv0c,-19.2,-1.1,4.5,10.5,-23.6,-5.78
LAS,-117.9,-20.7,-22.3,-12.4,-606.9,-156.04000000000002
LR,-605.2,-531.0,-404.7,-389.8,-1152.5,-616.64
