Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0,9.8,20.9,29.4,40.4,44.2,28.939999999999998
DMQv0c,5.1,22.2,27.6,40.1,47.3,28.46
DMQv2c,-5.7,11.8,26.7,41.9,50.2,24.979999999999997
DMQv1c,-19.4,4.7,19.7,34.4,44.6,16.8
DMQv1,-12.2,-3.0,16.5,31.5,38.0,14.16
QRF,2.9,6.7,10.1,18.0,29.8,13.5
DMQv2,-41.0,2.0,13.8,27.9,40.6,8.66
Naive,1.2,2.0,1.1,1.1,0.3,1.1400000000000001
AR1,1.4,2.0,0.9,0.8,-0.3,0.96
QGB,-89.0,-1.0,0.9,34.2,36.3,-3.719999999999999
IAR,-48.5,-19.1,-20.5,-17.7,-21.9,-25.54
LAS,-243.0,-3.1,-2.1,1.0,-26.8,-54.8
LR,-1117.2,-414.0,-256.4,-564.3,-1353.2,-741.0199999999999
