Model,0.05,0.25,0.5,0.75,0.95,Mean
QRF,27.2,14.5,18.3,22.2,8.1,18.06
DMQv0c,-4.3,3.1,15.7,22.8,-5.9,6.279999999999999
DMQv1,-13.2,-0.6,12.4,22.3,4.9,5.160000000000001
DMQv2,-18.2,-5.5,10.3,25.2,11.7,4.7
DMQv2c,-24.9,-3.7,13.6,26.1,9.3,4.080000000000001
DMQv0,-19.5,-3.2,13.1,23.9,5.7,4.0
DMQv1c,-19.5,-2.5,12.0,22.1,7.9,4.0
QGB,-1.6,13.2,18.0,17.2,-33.9,2.5799999999999996
AR1,1.1,0.3,0.5,1.1,1.1,0.82
Naive,0.7,0.3,0.5,1.1,1.0,0.72
UAR,-19.3,-12.3,-5.6,10.0,20.3,-1.3800000000000003
LAS,-118.0,-40.2,-20.2,-36.4,-210.7,-85.1
LR,-316.6,-203.0,-316.9,-231.8,-385.6,-290.78000000000003
