Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0,31.2,16.5,18.9,17.6,28.3,22.499999999999996
DMQv1,-6.7,27.8,24.9,24.0,31.5,20.3
QRF,-1.8,11.7,11.0,16.3,27.5,12.940000000000001
DMQs,-27.8,-2.4,12.4,24.4,44.5,10.22
DMQl,-21.4,4.2,6.3,22.3,19.0,6.08
DMQm,-33.0,-3.8,7.9,27.6,16.8,3.1000000000000005
QGB,-60.8,-0.9,1.2,30.0,39.8,1.8600000000000008
Naive,1.2,2.0,1.1,1.1,0.3,1.1400000000000001
AR1,1.4,2.0,0.9,0.8,-0.3,0.96
IAR,-48.5,-19.1,-20.5,-17.7,-21.9,-25.54
EN,-30.7,-149.0,-86.4,-100.8,-70.4,-87.46000000000001
QR,-7187.1,-1596.0,-2383.9,-753.2,-5946.4,-3573.3199999999997
