Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQm,41.9,22.7,24.2,32.7,5.4,25.380000000000003
QRF,16.5,9.5,15.3,19.5,7.6,13.679999999999998
DMQs,29.3,2.4,16.3,22.8,-26.8,8.8
DMQl,-5.5,9.1,8.9,27.1,2.1,8.34
DMQv0,6.2,1.1,2.1,14.6,8.8,6.56
QGB,-3.7,9.2,20.7,18.4,-27.5,3.419999999999999
AR1,1.1,0.3,0.5,1.1,1.1,0.82
Naive,0.7,0.3,0.5,1.1,1.0,0.72
UAR,-19.3,-12.3,-5.6,10.0,20.3,-1.3800000000000003
DMQv1,-11.2,-7.7,7.5,6.9,-13.6,-3.6199999999999997
EN,-11.0,-18.0,-1.4,8.8,-14.1,-7.139999999999999
QR,-325.1,-238.8,-151.4,-54.3,-412.1,-236.34
