Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv1c,-12.6,16.7,28.7,42.5,62.8,27.619999999999997
DMQe,-0.5,12.3,24.0,37.3,46.9,24.0
DMQv0c,16.0,12.2,19.5,31.0,25.6,20.860000000000003
DMQv1,-2.8,-1.7,16.2,35.2,52.4,19.860000000000003
DMQv0,8.2,11.4,18.4,29.3,24.6,18.380000000000003
QRF-l,13.3,11.8,14.5,18.8,31.8,18.04
DMQv2,-9.6,-2.2,11.9,29.4,48.6,15.62
DMQv2c,-16.8,2.7,16.8,32.2,41.1,15.2
QRF,-1.4,13.6,12.1,17.3,26.9,13.7
QGB,-58.0,-3.2,0.4,32.5,38.9,2.1199999999999988
Naive,1.2,2.0,1.1,1.1,0.3,1.1400000000000001
AR1,1.4,2.0,0.9,0.8,-0.3,0.96
IAR,-48.5,-19.1,-20.5,-17.7,-21.9,-25.54
LAS,-45.5,-8.1,2.6,4.4,-235.1,-56.339999999999996
LAS-l,-27.5,-2.2,1.6,-6.4,-300.6,-67.02000000000001
QPCR,-96.0,-8.4,-27.1,-31.6,-381.4,-108.9
LR,-466.0,-51.4,-33.7,-19.1,-231.7,-160.38000000000002
