Model,0.05,0.25,0.5,0.75,0.95,Mean
DMQv0c,16.8,15.9,20.6,26.9,5.5,17.14
QRF-l,20.7,8.4,15.1,22.8,6.6,14.719999999999999
QRF,20.4,8.7,15.4,19.7,8.5,14.540000000000001
DMQv0,-0.7,6.7,20.0,27.6,9.4,12.6
DMQe,-1.2,6.4,18.1,28.1,11.0,12.48
DMQv2,-6.0,7.1,16.9,25.9,7.2,10.22
DMQv1c,-9.2,3.1,15.3,27.7,11.8,9.74
DMQv2c,-22.5,-3.8,16.6,26.5,17.6,6.880000000000001
DMQv1,-11.1,-5.0,9.3,19.6,5.2,3.6
QGB,-8.1,9.6,17.4,18.4,-27.7,1.9199999999999995
AR1,1.1,0.3,0.5,1.1,1.1,0.82
Naive,0.7,0.3,0.5,1.1,1.0,0.72
UAR,-19.3,-12.3,-5.6,10.0,20.3,-1.3800000000000003
LAS,-7.3,2.5,7.3,9.8,-73.3,-12.2
LAS-l,-34.4,-14.6,4.5,6.2,-111.6,-29.979999999999997
LR,-188.7,-73.9,-36.7,-12.1,-93.3,-80.94000000000001
QPCR,-300.0,-64.1,-5.9,3.0,-258.2,-125.04
